ENGLISH,CHINESE,GERMAN,FRENCH,
Language,8bed,8a00,Sprache,Langue,
Transmitter,53d8,9001,5668,Transmitter,Transmetteur,
Sensor,8868,4f53,ff08,4f20,611f,5668,90e8,5206,ff09,Aufnehmer,Capteur,
Function Activation,529f,80fd,6fc0,6d3b,Function Activation,Activation fonction,
Linearisation,7ebf,6027,5316,Linearisation,Lin\x82arisation,
FE parameters,524d,7aef,677f,53c2,6570,FE parameters,Param\x8Atres FE,
Factory Defaults,51fa,5382,8bbe,7f6e,Factory Defaults,Factory Defaults,
Force Replace,5f3a,5236,66ff,6362,Force Replace,Force Replace,
Sensor Type,4eea,8868,7c7b,578b,Aufnehmer Typ,Type de capteur,
Meter(V) Size,4eea,8868,53e3,5f84,ff08,6da1,8857,ff09,Nennweite,Taille appareil (V),
Meter(S) Size,4eea,8868,53e3,5f84,ff08,65cb,8fdb,ff09,Nennweite,Taille appareil (S),
QvMaxDN,53e3,5f84,6d41,91cf,8303,56f4,QvMax DN,Qv max DN,
QvpMaxDN,53e3,5f84,7532,70f7,6d41,91cf,8303,56f4,QvPMax DN,Qvp max DN,
QmMaxDN,53e3,5f84,8d28,91cf,6d41,91cf,8303,56f4,0020,QmMax DN,Qm max DN,
QnMaxDN,53e3,5f84,6807,51b5,6d41,91cf,8303,56f4,QnMax DN,Qn mx DN,
QnpMaxDN,53e3,5f84,6807,51b5,7532,70f7,6d41,91cf,8303,56f4,QnPMax DN,Qnp max DN,
QpowerMaxDN,53e3,5f84,70ed,91cf,6d41,91cf,8303,56f4,QEnergieMax DN,Qpuissance max DN,
Sensor ID,672c,4f53,8bc6,522b,7801,Sensor ID,# s\x82rie capteur,
SAP/ERP No.,0053,0041,0050,5e8f,5217,53f7,SAP/ERP Nr,#interne ABB SAP/ERP,
Sensor Run Hours,4f20,611f,5668,8fd0,884c,65f6,95f4,Sensor Betriebsstd.,Heures de fonctionn.,
Calibration,6807,5b9a,4fe1,606f,Kalibrierung,Etalonnage,
Transmitter Type,53d8,9001,5668,578b,53f7,Transmitter Typ,Type transmetteur,
Transmitter ID,53d8,9001,5668,8bc6,522b,7801,Transmitter ID,# s\x82rie transmetteur,
SAP/ERP No.,0053,0041,0050,5e8f,5217,53f7,SAP/ERP Nr,#interne ABB SAP/ERP,
Transmitter Version,53d8,9001,5668,7248,672c,Transmitter Version,Version transmetteur,
Transmitter Run Hours,53d8,9001,5668,8fd0,884c,65f6,95f4,Transm. Betriebsst.,Heures fonctionn. Tx,
Calibration,6807,5b9a,4fe1,606f,Kalibrierung,Etalonnage,
Manufacturer,5236,9020,5546,Hersteller,Fabricant,
Street,5236,9020,5546,5730,5740,Strasse,Rue,
City,57ce,5e02,Stadt,Ville,
Phone,8054,7cfb,7535,8bdd,Telefon,T\x82l\x82phone,
Standard Password,6807,51c6,83dc,5355,5bc6,7801,8bbe,7f6e,Standard Passwort,Mot dePasse standard,
Read Only Switch,53ea,8bfb,5f00,5173,Read Only Schalter,Switch lecture seule,
Service Account,670d,52a1,7528,6237,Service-Konto,Compte service,
QvMaxDN,53e3,5f84,6d41,91cf,8303,56f4,QvMax DN,Qv max DN,
QvpMaxDN,53e3,5f84,7532,70f7,6d41,91cf,8303,56f4,QvPMax DN,Qvp max DN,
QmMaxDN,53e3,5f84,8d28,91cf,6d41,91cf,8303,56f4,0020,QmMax DN,Qm max DN,
QnMaxDN,53e3,5f84,6807,51b5,6d41,91cf,8303,56f4,QnMax DN,Qn mx DN,
QnpMaxDN,53e3,5f84,6807,51b5,7532,70f7,6d41,91cf,8303,56f4,QnPMax DN,Qnp max DN,
QpowerMaxDN,53e3,5f84,70ed,91cf,6d41,91cf,8303,56f4,QEnergieMax DN,Qpuissance max DN,
QvMax,4f53,79ef,6d41,91cf,8303,56f4,Qv Max,Qv max,
QvpMax,7532,70f7,6d41,91cf,8303,56f4,QvP Max,Qvp max,
QmMax,8d28,91cf,6d41,91cf,8303,56f4,0020,Qm Max,Qm max,
QnMax,6807,51b5,6d41,91cf,8303,56f4,Qn Max,Qn max,
Qnpmax,7532,70f7,6807,51b5,6d41,91cf,8303,56f4,QnP Max,Qnp max,
QpowerMax,70ed,91cf,6d41,91cf,8303,56f4,QEnergie Max,Qpuissance max,
Sensor Location Tag,5730,5740,4f4d,53f7,Messstellenbez.Sens.,Rep\x8Are lieu capteur,
Sensor TAG,4f20,611f,5668,4f4d,53f7,TAG Nummer (Sensor),Rep\x8Are capteur,
Units,5355,4f4d,8bbe,7f6e,Einheiten,Unit\x82s,
Damping Qv,4f53,79ef,6d41,91cf,963b,5c3c,65f6,95f4,D\x84mpfung Qv,Amortissement Qv,
Damping Qvp,7532,70f7,4f53,79ef,6d41,91cf,963b,5c3c,65f6,95f4,D\x84mpfung QvP,Amortissement Qvp,
Damping Qm,8d28,91cf,6d41,91cf,963b,5c3c,65f6,95f4,D\x84mpfung Qm,Amortissement Qm,
Damping Qn,6807,51b5,4f53,79ef,6d41,91cf,963b,5c3c,65f6,95f4,D\x84mpfung Qn,Amortissement Qn,
Damping Qnp,6807,51b5,7532,70f7,6d41,91cf,963b,5c3c,65f6,95f4,D\x84mpfung QnP,Amortissement Qnp,
Damping Qpower,70ed,91cf,6d41,91cf,963b,5c3c,65f6,95f4,D\x84mpfung Qenergie,Amortissement Qpuiss,
Damping Temperature,6e29,5ea6,963b,5c3c,65f6,95f4,D\x84mpfung Temp.,Amortissement temp.,
Low Flow Cutoff,5c0f,6d41,91cf,5207,9664,8bbe,5b9a,Schleichmenge,Coupure bas d\x82bit,
Operating Mode,8fd0,884c,6a21,5f0f,Betriebsart,Mode op\x82ratoire,
Compensation Setting,8865,507f,8bbe,7f6e,Einflussgr\x94\xE1en-Komp.,R\x82glage compensation,
Field optimization,73b0,573a,4f18,5316,8bbe,7f6e,Feld-Optimierung,Optimisation champs,
Operator Page 1,64cd,4f5c,754c,9762,7b2c,4e00,9875,Bedienerseite 1,Page op\x82rateur 1,
Operator Page 2,64cd,4f5c,754c,9762,7b2c,4e8c,9875,Bedienerseite 2,Page op\x82rateur 2,
Operator Page 3,64cd,4f5c,754c,9762,7b2c,4e09,9875,Bedienerseite 3,Page op\x82rateur 3,
Operator Page 4,64cd,4f5c,754c,9762,7b2c,56db,9875,Bedienerseite 4,Page op\x82rateur 4,
Function,6570,5b57,8f93,51fa,6a21,5f0f,Funktion,Fonction,
Setup Pulse Out,8109,51b2,8f93,51fa,8bbe,5b9a,Konfig. Pulsausgang,R\x82glageSortie Impuls,
Setup Freq Out,9891,7387,8f93,51fa,8bbe,5b9a,Konfig. Freqenzausg.,R\x82glageSortieFr\x82que.,
Alarm Config,62a5,8b66,914d,7f6e,Konfig. Alarme,Configuration alarme,
Active Mode,6fc0,6d3b,6a21,5f0f,Schaltausgang ,Mode actif,
Analog In Value,6a21,62df,91cf,8f93,5165,Analog-Eingang,Valeur entr\x82eAnalog.,
T Ext. Upper Range,5916,5165,6e29,5ea6,4e0a,9650,Ext.-Temp. ob. Wert,Valeur max. T ext.,
T Ext. Lower Range,5916,5165,6e29,5ea6,4e0b,9650,Ext.-Temp. unt. Wert,Valeur min. T ext.,
Pressure Upper Range,76f8,5bf9,538b,5f3a,4e0a,9650,Druck oberer Wert,Valeur pression max.,
Pressure Lower Range,76f8,5bf9,538b,5f3a,4e0b,9650,Druck unterer Wert,Valeur pression min.,
P(abs) Upper Range,7edd,5bf9,538b,5f3a,4e0a,9650,Abs.Druck ob. Wert,Valeur P abs max.,
P(abs) Lower Range,7edd,5bf9,538b,5f3a,4e0b,9650,Abs.Druck unt. Wert,Valeur P abs min.,
Density Upper Range,5bc6,5ea6,4e0a,9650,Dichte oberer Wert,Valeur masseVol max.,
Density Lower Range,5bc6,5ea6,4e0b,9650,Dichte unterer Wert,Valeur masseVol min.,
Gas% Upper Range,542b,6c14,7387,4e0a,9650,Netto-Gas%ob. Wert,Valeur teneurGaz max,
Gas% Lower Range,542b,6c14,7387,4e0b,9650,Netto-Gas%unt. Wert,Valeur teneurGaz min,
Ext.Cutoff Trigger,5916,5165,622a,6b62,89e6,53d1,Ext. Ausg-Abschaltw.,D\x82clench. arr\x88t ext.,
T Int. Upper Range,5916,5165,6e29,5ea6,4e0a,9650,Ext.-Temp. ob. Wert,Valeur max. T ext.,
T Int. Lower Range,5916,5165,6e29,5ea6,4e0b,9650,Ext.-Temp. unt. Wert,Valeur min. T ext.,
React. On Input Fail,8f93,5165,5931,8d25,Fehlerverhalten I/O ,Val si d¨¦faut entr¨¦e,
Maintenance Required,7ef4,62a4,9700,6c42,Wartung,Maintenance requise,
Function Check,529f,80fd,68c0,67e5,Funktionstest,Contr\x93le fonction,
Out Of Specification,8d85,51fa,89c4,683c,Out of Spec.,Hors sp\x82cification,
Min Flowrate Alarm,6700,5c0f,6d41,91cf,62a5,8b66,Min. Alarm Durchfl.,Alarme d\x82bit min.,
Max Flowrate Alarm,6700,5927,6d41,91cf,62a5,8b66,Max. Alarm Durchfl.,Alarme d\x82bit max.,
Flow > 103%,6d41,91cf,003e,0031,0030,0033,0025,62a5,8b66,Q > 103%,D\x82bit > 103%,
Flow CutOff Alarm,5c0f,6d41,91cf,5207,9664,62a5,8b66,Alarm Q<Schleichm.,Alarme arr\x88t d\x82bit,
Int. T Sensor Fault,6e29,5ea6,4f20,611f,5668,6545,969c,Temp.-Sensor Fehler,Erreur T int.Capteur,
Medium Temp OffSpec.,6d41,4f53,6e29,5ea6,8d85,8303,56f4,Sens. Temp off spec ,T fluide hors spec.,
Housing Temp OffSpec.,8868,4f53,6e29,5ea6,8d85,8303,56f4,Tx. Temp off spec ,T bo\x8Ctier hors spec.,
Min Flow Alarm,4f53,79ef,6d41,91cf,62a5,8b66,4e0b,9650,Min Qv Alarm,Min. alarme Qv,
Max Flow Alarm,6d41,91cf,62a5,8b66,4e0a,9650,Max flie\xE1en. Alarm,Max alarme flux,
Min Temp.Alarm,6e29,5ea6,62a5,8b66,4e0b,9650,Min Temp.Alarm,Min. alarme Temp.,
Max Temp.Alarm,6e29,5ea6,62a5,8b66,4e0a,9650,Max Temp.Alarm,Max. alarme Temp.,
Min P(abs) Alarm,7edd,5bf9,538b,5f3a,62a5,8b66,4e0b,9650,Min P(abs) Alarm,Min. alarme P abs,
Max P(abs) Alarm,7edd,5bf9,538b,5f3a,62a5,8b66,4e0a,9650,Max P(abs) Alarm,Max. alarme P abs,
Min Re Alarm,96f7,8bfa,6570,62a5,8b66,4e0b,9650,Min Re Alarm,Min. alarme Reynolds,
Baud Rate,6ce2,7279,7387,Baud Rate,Taux Baud,
General,General,General,General,
Internet Layer,Internet Layer,Internet Layer,Internet Layer,
PROFINET,PROFINET,PROFINET,PROFINET,
ModBus TCP,ModBus TCP,ModBus TCP,ModBus TCP,
WebServer,WebServer,WebServer,WebServer,
Diagnostics,Diagnostics,Diagnostics,Diagnostics,
Sensor Self Check,4f20,611f,5668,81ea,68c0,Sensor-Selbst-Test,Auto v\x82rif. Capteur,
Maintenance Cycle,7ef4,62a4,5468,671f,Wartungsintervall,Cycle maintenance,
Reynolds Number,96f7,8bfa,6570,Re-Zahl,Nombre de Reynolds,
Ext. Temperature,5916,5165,6e29,5ea6,Ext. Temperatur,Temp\x82rature externe,
Housing Temperature,8868,4f53,6e29,5ea6,Tx. Temperatur,Temp\x82rature bo\x8Ctier,
AI Value,6a21,62df,91cf,8f93,5165,503c,AI Wert,Valeur entr\x82e ana.,
DO Pulse,8109,51b2,8f93,51fa,Digitalausgang Imp.,Sortie num. impuls.,
DO Frequency,9891,7387,8f93,51fa,Digitalausgang Freq.,Sortie num. fr\x82quen.,
DO State,903b,8f91,8f93,51fa,72b6,6001,Schaltausgang Status,Etat sortie num\x82riq.,
All Totalizers,6240,6709,7d2f,8ba1,5668,Alle Z\x84hler,Tout totalisateurs,
Act.Volume Totalizer,5f53,524d,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Betriebsvol.-Z\x84hler,Totalis. volume r\x82el,
Std.Volume Totalizer,6807,51b5,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Normvol.-Z\x84hler,Totalis. volume std,
Mass Totalizer,8d28,91cf,6d41,91cf,7d2f,8ba1,5668,Masse-Z\x84hler,Totalisateur masse,
Energy Totalizer,70ed,91cf,6d41,91cf,7d2f,8ba1,5668,Energie-Z\x84hler,Totalisateur \x82nergie,
Net Act.Vol.Totalizer,51c0,5f53,524d,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Net.-Bvol.-Z\x84hler,Totali.VolumeNetR\x82el,
Net Std.Vol.Totalizer,51c0,6807,51b5,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Net.-Nvol.-Z\x84hler,Total.Volume Net Std,
All Totalizers,6240,6709,7d2f,8ba1,5668,Alle Z\x84hler,Tout totalisateurs,
Act.Volume Totalizer,5f53,524d,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Betriebsvol.-Z\x84hler,Totalis. volume r\x82el,
Std.Volume Totalizer,6807,51b5,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Normvol.-Z\x84hler,Totalis. volume std,
Mass Totalizer,8d28,91cf,6d41,91cf,7d2f,8ba1,5668,Masse-Z\x84hler,Totalisateur masse,
Energy Totalizer,70ed,91cf,6d41,91cf,7d2f,8ba1,5668,Energie-Z\x84hler,Totalisateur \x82nergie,
Net Act.Vol.Totalizer,51c0,5f53,524d,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Net.-Bvol.-Z\x84hler,Totali.VolumeNetR\x82el,
Net Std.Vol.Totalizer,51c0,6807,51b5,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Net.-Nvol.-Z\x84hler,Total.Volume Net Std,
All Totalizers,6240,6709,7d2f,8ba1,5668,Alle Z\x84hler,Tout totalisateurs,
Act.Volume Totalizer,5f53,524d,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Betriebsvol.-Z\x84hler,Totalis. volume r\x82el,
Std.Volume Totalizer,6807,51b5,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Normvol.-Z\x84hler,Totalis. volume std,
Mass Totalizer,8d28,91cf,6d41,91cf,7d2f,8ba1,5668,Masse-Z\x84hler,Totalisateur masse,
Energy Totalizer,70ed,91cf,6d41,91cf,7d2f,8ba1,5668,Energie-Z\x84hler,Totalisateur \x82nergie,
Net Act.Vol.Totalizer,51c0,5f53,524d,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Net.-Bvol.-Z\x84hler,Totali.VolumeNetR\x82el,
Net Std.Vol.Totalizer,51c0,6807,51b5,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Net.-Nvol.-Z\x84hler,Total.Volume Net Std,
Enter Preset Value,9884,8bbe,503c,8f93,5165,Wert eingeben,EntrerValeurPr\x82d\x82fi.,
Set To Preset Value,9884,8bbe,503c,8bbe,5b9a,Auf Wert einstellen,Fixer \x85valeurPr\x82d\x82f.,
Act.Volume Totalizer,5f53,524d,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Betriebsvol.-Z\x84hler,Totalis. volume r\x82el,
Std.Volume Totalizer,6807,51b5,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Normvol.-Z\x84hler,Totalis. volume std,
Mass Totalizer,8d28,91cf,6d41,91cf,7d2f,8ba1,5668,Masse-Z\x84hler,Totalisateur masse,
Energy Totalizer,70ed,91cf,6d41,91cf,7d2f,8ba1,5668,Energie-Z\x84hler,Totalisateur \x82nergie,
Net Act.Vol.Totalizer,51c0,5f53,524d,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Net.-Bvol.-Z\x84hler,Totali.VolumeNetR\x82el,
Net Std.Vol.Totalizer,51c0,6807,51b5,4f53,79ef,6d41,91cf,7d2f,8ba1,5668,Net.-Nvol.-Z\x84hler,Total.Volume Net Std,
Reset Run Hour,91cd,8bbe,8fd0,884c,65f6,95f4,Reset Betriebsstd.,RAZ h fonctionnement,
Run Hours,8fd0,884c,65f6,95f4,Betriebsstunden,Heures fonctionn.,
Maintenance Cycle,7ef4,62a4,5468,671f,Wartungsintervall,Cycle maintenance,
